product_title,current_color,sku,variant_id,variant_available,variant_price,variant_qty,size,extraction_date,webpage
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Cream 2.0,10-11360-050,43584029982772,true,7800,1994,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Rose Quartz 2.0,10-11360-049,43583991316532,true,7800,1975,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Frost,10-11360-015,42038944661556,true,7800,2554,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Ash,10-11360-016,42038945054772,true,7800,3426,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Rose Quartz,10-11360-002,41260313641012,false,7800,0,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Black,10-11360-005,41260322029620,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Charcoal,10-11360-004,41260321603636,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Fog,10-11360-010,41260321243188,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Cream,10-11360-001,41260320981044,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Cream,10-11360-001,41260320981044,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Rose Quartz,10-11360-002,41260313641012,false,7800,0,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Black,10-11360-005,41260322029620,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Charcoal,10-11360-004,41260321603636,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Rose Quartz 2.0,10-11360-049,43583991316532,true,7800,1975,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Cream 2.0,10-11360-050,43584029982772,true,7800,1994,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Fog,10-11360-010,41260321243188,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Ash,10-11360-016,42038945054772,true,7800,3426,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 64 OZ | 1.90 L,Charcoal,10-11360-004,41260321603636,false,7800,-50,64,2024-08-05,https://ca.stanley1913.com/products/the-quencher-h2-0-flowstate-tumbler-64-oz-1-90-l?variant=43583991316532
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Azure,10-12552-014,42268327706676,true,5900,3716,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Peony,10-10824-338,43721804939316,false,5900,-50,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Fuchsia,10-11824-046,42226614566964,true,5900,816,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Rose Quartz 2.0,10-11673-121,42037882126388,true,5900,16519,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Rose Quartz,10-11673-003,40675825778740,true,5900,18725,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Rose Quartz Swirl,10-10824-197,41178257686580,true,5900,800,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Rose Quartz Glow,10-10824-041,40988909535284,true,5900,6324,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Lilac,10-10824-268,42268326756404,true,5900,2606,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Iris,10-10824-046,41192816771124,false,5900,-100,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Pool,10-10824-022,41050408648756,true,5900,2940,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Indigo,10-10824-261,44156646490164,true,5900,1418,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Seafoam,10-10824-270,44156641116212,true,5900,1375,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Matcha Cream,10-10824-598,43674030276660,false,5900,-50,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Mist,10-10824-269,42268327444532,true,5900,1621,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Citron,10-10824-044,41031526449204,true,5900,1923,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Jade,10-10824-024,41031526481972,false,5900,0,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Blue Spruce,10-11824-039,42268332818484,true,5900,798,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Balsam Glow,10-10824-042,41372223832116,true,5900,971,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
The Quencher H2.0 FlowState™ Tumbler  | 40 OZ | 1.18 L,Nectarine,10-11824-043,42592222773300,true,5900,3391,40,2024-08-05,https://ca.stanley1913.com/products/adventure-quencher-travel-tumbler-40-oz
