title,price,color,color2,size,model,url,extraction_date,extraction_hour,asin2,asin2
The Black Chroma Quencher H2.0 FlowState™ Tumbler | 30 OZ,$119.00,N/A,Stanley,30,FlowState,https://www.amazon.ca/Black-Chroma-Quencher-FlowStateTM-Tumbler/dp/B0D37XZ3J3/ref=sr_1_72?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.32137uIvhwbnEgWk0dMNjWdV3tEHfAemxFjZCnbnZ3xgVyXg007l6HlqDHxRQUTzbt6U4avJqWWTKVHYKL0AgbbF15eeZ_WiHTkyeiGGx6bdy3fHnyor64LM8CLD206gkv12XkWtYNhiBUaBbNVOxcENUIpVC-6GghXblAlcs-MMCWgKrjfOlGqJ4Lj0Ju4zXukgTohkXNUa3MK7bSudYKg9a3lnWe5O4uHIfvazv3c.hnSJV2QpezQpnOGaZU2s_8bhTfLUI1gqH5zp-BOfmt0&dib_tag=se&keywords=40+oz&qid=1722915806&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-72,2024-08-08,10:51:58,B0D37XZ3J3,B0D37XZ3J3
"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More, Flint, 40 OZ / 1.18 L",$59.00,N/A,Stanley,40,FlowState,https://www.amazon.ca/Stanley-Quencher-FlowState-Stainless-Insulated/dp/B0BQZDV8MW/ref=sr_1_88?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.EKZqp7aiAzZndLw3gjDEhl-zE2-hB1PCNSAxq2Ouh549eHFkeYwdntMXo_1dLLM5tkExEIxZWCFBK4PrQSHb6Lmk649uCylgPCyikJ72ShDMAw6Oef1N_RJ7bxWeV_3_vm1bcZNUPNmsGIQJbAlahZmWNuC2mG8Re_eOOQcWi7CKWBund0e9AjOM2fk1UwBWtlZM91evgEBdPvv48vV2SlHKvjpvc9430ROSNy3ffts.kfm5GsMwvAPDj1bIrbIFgpnS-WsrOUEqY_fJ-bVCdGo&dib_tag=se&keywords=40+oz&qid=1722915812&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-88,2024-08-08,10:52:05,B0BQZDV8MW,B0BQZDV8MW
STANLEY 40 oz. Quencher H2.0 Valentines Day Tumbler - Cosmo Pink,$126.05,N/A,Stanley,40,unknown,https://www.amazon.ca/STANLEY-Quencher-H2-0-Valentines-Tumbler/dp/B0CR8PYPZ7/ref=sr_1_48?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.xMp5dHsq-xz50rt2bvQ77YS8W0x56ByYku4qEliENElx1h6ceU92ENHHWzhbmE1JZw75nKXtSF3KZR3DlHYazzj6vcEtTNi1AKtCeVUtDCmqu6AmyV1ua4i33-1yYTkXtWJB1zN4TUKC_UHd5kYHCZrAtsxR6pNCek2zWBL0_-6hFP-o0ZCbgnVgkS3kUtg_QncEQSs4jJyWmAKfutGk07132e7M5LVt4kXxqGvwvSk.SrtwqpRm_tzGH_y306yII3l-B50Ac6mNuszuvIS2_d8&dib_tag=se&keywords=40+oz&qid=1722915794&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-48,2024-08-08,10:52:11,B0CR8PYPZ7,B0CR8PYPZ7
"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More, Electric Pink, 40 OZ",$116.13,N/A,Stanley,40,FlowState,https://www.amazon.ca/Stanley-Quencher-FlowState-Stainless-Insulated/dp/B0CV6431SY/ref=sr_1_30?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.EaB-OzPu3ZXdT5AD4IoiHekSC3X0gj_Nq-MBVAPFeQrd4M4utjAyv1affcL542wblS3-nszesfkgjMgifYDeHsqHgM8kjn8ErEVlqlRCuxU4At4zLTfv1AeranJ6O76Ohuk2yILrRoXmVMg6kRnQTFtpSnhVLeeHnmSrG3iIml_ziWvIGiOCJOLG2gaIDt_8h9rzf8otGkU9FIJZeTvvTtZWhiaHJYfQo_anlf5nGYg.sf2INfUGRi9sGnf93XVgPQohZmFUCHx3dtHRV4t95zI&dib_tag=se&keywords=40+oz&qid=1722915788&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-30,2024-08-08,10:52:18,B0CV6431SY,B0CV6431SY
Stanley Quencher H2.O FlowState™ Tumbler 40 oz Black Gloss Deco,$65.00,N/A,Stanley,40,FlowState,https://www.amazon.ca/Stanley-Quencher-FlowStateTM-Tumbler-Black/dp/B0CN1L7ZPV/ref=sr_1_8?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.s5yvEujjUNmN94VcUx6nFEwPM2JANMNpWOCOdvmrzzj1wkaPr_rEyUjmkhTx7cKUrtOctByGe80S3QWW0DxhJUDuXyD837W6glKLGinQZ5OQqXBnYh0ISGrVSZ1073QgVmPXIhQnZuj77Lzt2RaUuVs6Nzh9uXluIZNDNnOsfgwlVMTU2r0U2QSJn9Bh2f2hWCHTPVtl6Vu-vx06pW8_CTQipo2K1ogkjnYPGas0M2w.eiZVlvMZdW7X61ibpI1fAbzDU7VDT7MkiJZa7hjm4gg&dib_tag=se&keywords=40+oz&qid=1722915781&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-8,2024-08-08,10:52:23,B0CN1L7ZPV,B0CN1L7ZPV
Stanley Quencher H2.O FlowState™ Tumbler (Box) 40 OZ Matcha Cream,$87.99,N/A,Stanley,40,FlowState,https://www.amazon.ca/Stanley-Quencher-FlowStateTM-Tumbler-Matcha/dp/B0CX794VYP/ref=sr_1_43?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.xMp5dHsq-xz50rt2bvQ77YS8W0x56ByYku4qEliENElx1h6ceU92ENHHWzhbmE1JZw75nKXtSF3KZR3DlHYazzj6vcEtTNi1AKtCeVUtDCmqu6AmyV1ua4i33-1yYTkXtWJB1zN4TUKC_UHd5kYHCZrAtsxR6pNCek2zWBL0_-6hFP-o0ZCbgnVgkS3kUtg_QncEQSs4jJyWmAKfutGk07132e7M5LVt4kXxqGvwvSk.SrtwqpRm_tzGH_y306yII3l-B50Ac6mNuszuvIS2_d8&dib_tag=se&keywords=40+oz&qid=1722915794&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-43,2024-08-08,10:52:30,B0CX794VYP,B0CX794VYP
"STANLEY Neon Black 40 oz Tumbler Limited Spring Edition, 041604412981",$118.74,N/A,Stanley,40,unknown,https://www.amazon.ca/STANLEY-Tumbler-Limited-Spring-041604412981/dp/B0CXNBLS82/ref=sr_1_39?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.xMp5dHsq-xz50rt2bvQ77YS8W0x56ByYku4qEliENElx1h6ceU92ENHHWzhbmE1JZw75nKXtSF3KZR3DlHYazzj6vcEtTNi1AKtCeVUtDCmqu6AmyV1ua4i33-1yYTkXtWJB1zN4TUKC_UHd5kYHCZrAtsxR6pNCek2zWBL0_-6hFP-o0ZCbgnVgkS3kUtg_QncEQSs4jJyWmAKfutGk07132e7M5LVt4kXxqGvwvSk.SrtwqpRm_tzGH_y306yII3l-B50Ac6mNuszuvIS2_d8&dib_tag=se&keywords=40+oz&qid=1722915794&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-39,2024-08-08,10:52:35,B0CXNBLS82,B0CXNBLS82
STANLEY Quencher H2.0 FlowState Tumbler 40oz (Citron),$108.35,N/A,Stanley,40,FlowState,https://www.amazon.ca/Stanley-Quencher-FlowState-Tumbler-Citron/dp/B0BXGBPPQ2/ref=sr_1_76?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.32137uIvhwbnEgWk0dMNjWdV3tEHfAemxFjZCnbnZ3xgVyXg007l6HlqDHxRQUTzbt6U4avJqWWTKVHYKL0AgbbF15eeZ_WiHTkyeiGGx6bdy3fHnyor64LM8CLD206gkv12XkWtYNhiBUaBbNVOxcENUIpVC-6GghXblAlcs-MMCWgKrjfOlGqJ4Lj0Ju4zXukgTohkXNUa3MK7bSudYKg9a3lnWe5O4uHIfvazv3c.hnSJV2QpezQpnOGaZU2s_8bhTfLUI1gqH5zp-BOfmt0&dib_tag=se&keywords=40+oz&qid=1722915806&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-76,2024-08-08,10:52:42,B0BXGBPPQ2,B0BXGBPPQ2
"Stanley Quencher H2.0 FlowState Stainless Steel Vacuum Insulated Tumbler with Lid and Straw for Water, Iced Tea or Coffee, Smoothie and More, Neon Orange, 40 OZ",$93.39,N/A,Stanley,40,FlowState,https://www.amazon.ca/Stanley-Quencher-FlowState-Stainless-Insulated/dp/B0CV62XSDZ/ref=sr_1_64?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.80GM8zHlmdS8T-rX_Nsv1r2lT-L3GYyeSUtk_N_wuDf4kvrSoFT1nf3vFLOGwcDeN-3cFqFVqY4umtpfSXzHJ3j-pgr1upzLGgUmfIktjA5m4uzQco4wWSkZcT7F5oseNBxgDXXlROFBJRrF8UCfMplcIsajQcFjzyxPIegwDHzEC1wUC3o61yk7ph-KRMF5SqDyertsK0nC4kdEb6P_-M50ATvdJSh8_bTZmUnfgDY.Yc5u9xbHuHwGtvlgxJUmM9StvY4ZNevPZas1SFBUfCw&dib_tag=se&keywords=40+oz&qid=1722915800&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-64,2024-08-08,10:52:48,B0CV62XSDZ,B0CV62XSDZ
Stanley 40 oz Balsam Glow Limited Edition,$100.00,N/A,Stanley,40,unknown,https://www.amazon.ca/Stanley-40-Balsam-Glow-Limited/dp/B0CNZJ9Y44/ref=sr_1_38?crid=WJZ2CGTM4SL&dib=eyJ2IjoiMSJ9.xMp5dHsq-xz50rt2bvQ77YS8W0x56ByYku4qEliENElx1h6ceU92ENHHWzhbmE1JZw75nKXtSF3KZR3DlHYazzj6vcEtTNi1AKtCeVUtDCmqu6AmyV1ua4i33-1yYTkXtWJB1zN4TUKC_UHd5kYHCZrAtsxR6pNCek2zWBL0_-6hFP-o0ZCbgnVgkS3kUtg_QncEQSs4jJyWmAKfutGk07132e7M5LVt4kXxqGvwvSk.SrtwqpRm_tzGH_y306yII3l-B50Ac6mNuszuvIS2_d8&dib_tag=se&keywords=40+oz&qid=1722915794&refinements=p_123%3A315576&rnid=119962390011&s=kitchen&sprefix=40+oz%2Caps%2C121&sr=1-38,2024-08-08,10:52:54,B0CNZJ9Y44,B0CNZJ9Y44
