title,price,color,color1,color2,color3,size,model,url,extraction_date,extraction_hour,asin2,asin2
N/A,$175.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B08RXT3YGN,2024-08-09,15:46:33,N/A,N/A
N/A,$78.00,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CP9YBWMH,2024-08-09,15:46:38,N/A,N/A
N/A,$84.00,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CPZYJDBQ,2024-08-09,15:46:43,N/A,N/A
N/A,$58.50,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B086CT6XGZ,2024-08-09,15:46:48,N/A,N/A
N/A,$74.00,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B07NSVXFYP,2024-08-09,15:46:52,N/A,N/A
N/A,"$2,384.76",N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0C7S23RBZ,2024-08-09,15:46:56,N/A,N/A
N/A,$29.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0BSLWZNPB,2024-08-09,15:47:00,N/A,N/A
N/A,$102.77,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CP9Z667B,2024-08-09,15:47:05,N/A,N/A
N/A,$135.51,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CVS3LDX3,2024-08-09,15:47:09,N/A,N/A
N/A,$88.19,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0B31BGXDK,2024-08-09,15:47:13,N/A,N/A
N/A,$129.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CT4BBPTL,2024-08-09,15:47:17,N/A,N/A
N/A,$62.00,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B000FZX93U,2024-08-09,15:47:21,N/A,N/A
N/A,$136.57,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0BWKQZSQB,2024-08-09,15:47:25,N/A,N/A
N/A,$129.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CT48PT43,2024-08-09,15:47:28,N/A,N/A
N/A,$51.95,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CSF39X5Y,2024-08-09,15:47:32,N/A,N/A
N/A,$41.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0C7RRDT9T,2024-08-09,15:47:36,N/A,N/A
N/A,$29.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0BSLY3KBJ,2024-08-09,15:47:40,N/A,N/A
N/A,$39.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0BWKRN7CZ,2024-08-09,15:47:44,N/A,N/A
N/A,$22.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CQ7VLLGY,2024-08-09,15:47:48,N/A,N/A
N/A,$119.00,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0D37XZ3J3,2024-08-09,15:47:52,N/A,N/A
N/A,$469.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CQ1DBQS2,2024-08-09,15:47:56,N/A,N/A
N/A,$102.98,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CKBGHN3F,2024-08-09,15:48:00,N/A,N/A
N/A,$29.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0BSLY371L,2024-08-09,15:48:04,N/A,N/A
N/A,$169.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0C7SCYTVR,2024-08-09,15:48:08,N/A,N/A
N/A,N/A,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0C7S4X1BZ,2024-08-09,15:48:12,N/A,N/A
N/A,"$2,849.99",N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B09ZMRYQK5,2024-08-09,15:48:15,N/A,N/A
N/A,$39.12,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0C4FVLH66,2024-08-09,15:48:19,N/A,N/A
N/A,"$2,384.76",N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0C7SD173Y,2024-08-09,15:48:23,N/A,N/A
N/A,$25.99,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0BSLXW99Y,2024-08-09,15:48:26,N/A,N/A
N/A,$20.22,N/A,unknown,N/A,N/A,unknown,unknown,https://www.amazon.ca/s?k=B0CTCQK4F9,2024-08-09,15:48:30,N/A,N/A
